"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"49",35,43,28,NA,NA,NA,0,0,0,13.65,NA,320,310,"2023/2/18","LAGUARDIA AIRPORT, NY US"
"50",42,48,37,NA,NA,NA,0,0,0,9.62,NA,170,170,"2023/2/19","LAGUARDIA AIRPORT, NY US"
"51",50,62,42,NA,NA,NA,0,0,0,8.95,NA,290,300,"2023/2/20","LAGUARDIA AIRPORT, NY US"
"52",44,46,37,NA,NA,NA,0.26,0,0,9.17,NA,190,190,"2023/2/21","LAGUARDIA AIRPORT, NY US"
"53",42,44,38,NA,NA,NA,0.19,0,0,8.95,NA,310,70,"2023/2/22","LAGUARDIA AIRPORT, NY US"
"54",39,44,38,NA,NA,NA,0.03,0,0,10.51,NA,60,50,"2023/2/23","LAGUARDIA AIRPORT, NY US"
"55",42,46,27,NA,NA,NA,0,0,0,18.57,NA,310,310,"2023/2/24","LAGUARDIA AIRPORT, NY US"
"56",27,33,23,NA,NA,NA,0,0,0,7.38,NA,320,320,"2023/2/25","LAGUARDIA AIRPORT, NY US"
"57",35,51,28,NA,NA,NA,0,0,0,8.05,NA,320,280,"2023/2/26","LAGUARDIA AIRPORT, NY US"
"58",39,43,33,NA,NA,NA,0.31,1.1,0,11.86,NA,110,110,"2023/2/27","LAGUARDIA AIRPORT, NY US"
"59",35,39,33,NA,NA,NA,0.28,1.6,2,11.63,NA,60,60,"2023/2/28","LAGUARDIA AIRPORT, NY US"
"60",39,44,33,NA,NA,NA,0.01,0,0,8.72,NA,160,140,"2023/3/1","LAGUARDIA AIRPORT, NY US"
"61",43,53,39,NA,NA,NA,0,0,0,12.3,NA,330,340,"2023/3/2","LAGUARDIA AIRPORT, NY US"
"62",42,46,38,NA,NA,NA,0.15,0,0,11.86,NA,100,100,"2023/3/3","LAGUARDIA AIRPORT, NY US"
"63",42,46,38,NA,NA,NA,1.13,0,0,15.66,NA,50,90,"2023/3/4","LAGUARDIA AIRPORT, NY US"
"64",44,53,39,NA,NA,NA,0,0,0,15.43,NA,330,320,"2023/3/5","LAGUARDIA AIRPORT, NY US"
"65",46,53,40,NA,NA,NA,0,0,0,13.87,NA,320,310,"2023/3/6","LAGUARDIA AIRPORT, NY US"
"66",42,47,33,NA,NA,NA,0.05,0,0,18.57,NA,320,320,"2023/3/7","LAGUARDIA AIRPORT, NY US"
"67",38,47,32,NA,NA,NA,0,0,0,17,NA,330,330,"2023/3/8","LAGUARDIA AIRPORT, NY US"
"68",41,50,34,NA,NA,NA,0,0,0,14.09,NA,20,330,"2023/3/9","LAGUARDIA AIRPORT, NY US"
"69",40,46,35,NA,NA,NA,0.34,0,0,8.5,NA,130,60,"2023/3/10","LAGUARDIA AIRPORT, NY US"
"70",41,44,36,NA,NA,NA,0.31,0,0,15.21,NA,340,40,"2023/3/11","LAGUARDIA AIRPORT, NY US"
"71",40,46,34,NA,NA,NA,0,0,0,8.95,NA,350,350,"2023/3/12","LAGUARDIA AIRPORT, NY US"
"72",42,46,39,NA,NA,NA,0.72,0,0,12.75,NA,50,50,"2023/3/13","LAGUARDIA AIRPORT, NY US"
