"AWND","DATE"
8.28,"2023-09-03"
6.04,"2023-09-04"
5.82,"2023-09-05"
6.49,"2023-09-06"
8.05,"2023-09-07"
5.82,"2023-09-08"
6.49,"2023-09-09"
3.58,"2023-09-10"
5.37,"2023-09-11"
6.26,"2023-09-12"
7.38,"2023-09-13"
13.2,"2023-09-14"
14.76,"2023-09-15"
10.74,"2023-09-16"
4.7,"2023-09-17"
7.16,"2023-09-18"
10.29,"2023-09-19"
6.93,"2023-09-20"
7.61,"2023-09-21"
11.18,"2023-09-22"
16.11,"2023-09-23"
12.3,"2023-09-24"
14.54,"2023-09-25"
11.18,"2023-09-26"
9.84,"2023-09-27"
10.96,"2023-09-28"
14.09,"2023-09-29"
10.96,"2023-09-30"
8.95,"2023-10-01"
6.93,"2023-10-02"
4.03,"2023-10-03"
3.36,"2023-10-04"
5.59,"2023-10-05"
4.47,"2023-10-06"
8.95,"2023-10-07"
15.21,"2023-10-08"
9.62,"2023-10-09"
6.04,"2023-10-10"
5.14,"2023-10-11"
5.37,"2023-10-12"
9.17,"2023-10-13"
9.4,"2023-10-14"
12.53,"2023-10-15"
8.28,"2023-10-16"
5.37,"2023-10-17"
4.03,"2023-10-18"
7.16,"2023-10-19"
5.82,"2023-10-20"
13.42,"2023-10-21"
16.78,"2023-10-22"
9.62,"2023-10-23"
5.37,"2023-10-24"
9.17,"2023-10-25"
6.71,"2023-10-26"
7.61,"2023-10-27"
9.62,"2023-10-28"
10.29,"2023-10-29"
9.4,"2023-10-30"
6.93,"2023-10-31"
